invoice_id,client_name,invoice_date,due_date,amount,status,case_id
INV001,Apex Logistics,2024-01-05,2024-02-05,15000,Paid,C001
INV002,Bright Dental,2024-01-12,2024-02-12,8500,Overdue,C002
INV003,Cornerstone LLC,2024-01-15,2024-02-15,22000,Paid,C003
INV004,Delta Supplies,2024-01-20,2024-02-20,3200,Partial,C004
INV005,Eagle Finance,2024-01-22,2024-02-22,47000,Overdue,C005
INV006,FreshMart Co,2024-02-01,2024-03-01,6700,Paid,C006
INV007,GreenPath Energy,2024-02-05,2024-03-05,31000,Partial,C007
INV008,Harbor Medical,2024-02-10,2024-03-10,19000,Overdue,C008
INV009,Ironclad Realty,2024-02-14,2024-03-14,8200,Paid,C009
INV010,Jetstream Air,2024-02-18,2024-03-18,54000,Partial,C010
