case_id,client_name,amount_owed,amount_recovered,status,priority,assigned_agent,date_opened,industry
C001,Apex Logistics,15000,12000,Resolved,High,Sarah K,2024-01-05,Logistics
C002,Bright Dental,8500,0,In Progress,High,James R,2024-01-12,Healthcare
C003,Cornerstone LLC,22000,22000,Resolved,Medium,Sarah K,2024-01-15,Real Estate
C004,Delta Supplies,3200,1500,In Progress,Low,Mike T,2024-01-20,Retail
C005,Eagle Finance,47000,0,Open,High,James R,2024-01-22,Finance
C006,FreshMart Co,6700,6700,Resolved,Low,Mike T,2024-02-01,Retail
C007,GreenPath Energy,31000,15000,In Progress,High,Sarah K,2024-02-05,Energy
C008,Harbor Medical,19000,0,Open,Medium,James R,2024-02-10,Healthcare
C009,Ironclad Realty,8200,8200,Resolved,Low,Mike T,2024-02-14,Real Estate
C010,Jetstream Air,54000,27000,In Progress,High,Sarah K,2024-02-18,Logistics
C011,Keystone Bank,12000,0,Open,High,James R,2024-03-01,Finance
C012,Luminary Labs,9500,9500,Resolved,Medium,Mike T,2024-03-05,Technology
C013,Metro Builders,28000,14000,In Progress,High,Sarah K,2024-03-10,Real Estate
C014,Nexus Pharma,16000,0,Open,Medium,James R,2024-03-15,Healthcare
C015,Orbit Systems,7300,7300,Resolved,Low,Mike T,2024-03-20,Technology
C016,Tetra Inc,45000,0,Open,High,James R,2024-03-25,Finance
C017,SpaceX,80000,0,Open,Low,Unassigned,2024-03-26,Unknown
